urn,local_authority,inspection_link,overall_effectiveness_grade,inspection_framework,inspector_name,inspection_start_date,inspection_end_date,publication_date,local_link_to_all_inspections,impact_of_leaders_grade,help_and_protection_grade,care_and_care_leavers_grade,sentiment_score,sentiment_summary,main_inspection_topics
80441,bristol,https://files.ofsted.gov.uk/v1/file/50210578,Requires improvement,standard,Tracey Ledder,16/01/2023,27/01/2023,10/03/23,file:///./80441_bristol,Requires improvement,Requires improvement,,0.17561735094255018,Sentiment positive,"['0.035*""children"" + 0.013*""’"" + 0.010*""care"" + 0.007*""support"" + 0.006*""help"" + 0.006*""good"" + 0.006*""well"" + 0.006*""services"" + 0.006*""local"" + 0.006*""needs""', '0.042*""children"" + 0.019*""’"" + 0.012*""care"" + 0.012*""services"" + 0.010*""support"" + 0.009*""help"" + 0.008*""local"" + 0.008*""well"" + 0.008*""leavers"" + 0.008*""authority""', '0.030*""children"" + 0.014*""’"" + 0.009*""care"" + 0.007*""support"" + 0.007*""local"" + 0.007*""well"" + 0.007*""authority"" + 0.006*""services"" + 0.006*""needs"" + 0.006*""help""']"
80442,buckinghamshire,https://files.ofsted.gov.uk/v1/file/50177454,Requires improvement,standard,Nick Stacey,06/12/2021,17/12/2021,11/02/22,file:///./80442_buckinghamshire,Requires improvement,Requires improvement,Requires improvement,0.14138470746425272,Sentiment positive,"['0.025*""children"" + 0.011*""work"" + 0.011*""care"" + 0.010*""social"" + 0.010*""’"" + 0.009*""workers"" + 0.005*""leavers"" + 0.005*""local"" + 0.005*""services"" + 0.005*""plans""', '0.034*""children"" + 0.019*""care"" + 0.014*""social"" + 0.013*""work"" + 0.012*""’"" + 0.010*""workers"" + 0.008*""services"" + 0.007*""support"" + 0.006*""local"" + 0.005*""managers""', '0.029*""children"" + 0.011*""’"" + 0.011*""care"" + 0.010*""social"" + 0.009*""work"" + 0.007*""workers"" + 0.006*""services"" + 0.005*""local"" + 0.005*""leavers"" + 0.004*""authority""']"
80443,bury,https://files.ofsted.gov.uk/v1/file/50174207,Inadequate,standard,Lorna Schlechte,25/10/2021,05/11/2021,17/12/21,file:///./80443_bury,Inadequate,Inadequate,Requires improvement,0.13590283473836104,Sentiment positive,"['0.033*""children"" + 0.009*""’"" + 0.008*""social"" + 0.007*""care"" + 0.006*""practice"" + 0.005*""work"" + 0.005*""needs"" + 0.005*""support"" + 0.005*""protection"" + 0.005*""2021""', '0.019*""children"" + 0.008*""care"" + 0.008*""’"" + 0.007*""protection"" + 0.007*""social"" + 0.006*""work"" + 0.005*""2021"" + 0.005*""needs"" + 0.005*""team"" + 0.005*""services""', '0.036*""children"" + 0.011*""’"" + 0.010*""care"" + 0.008*""work"" + 0.008*""social"" + 0.006*""2021"" + 0.006*""needs"" + 0.006*""services"" + 0.005*""protection"" + 0.005*""support""']"
80444,calderdale,https://files.ofsted.gov.uk/v1/file/50045446,Good,standard,Lisa Summers,12/11/2018,23/11/2018,19/12/18,file:///./80444_calderdale,Good,,,0.1953929877710363,Sentiment positive,"['0.030*""children"" + 0.015*""’"" + 0.014*""care"" + 0.010*""social"" + 0.009*""work"" + 0.009*""young"" + 0.008*""support"" + 0.008*""Children"" + 0.007*""well"" + 0.007*""people""', '0.031*""children"" + 0.014*""care"" + 0.011*""’"" + 0.010*""work"" + 0.007*""social"" + 0.007*""managers"" + 0.007*""Children"" + 0.007*""well"" + 0.006*""support"" + 0.006*""workers""', '0.019*""children"" + 0.011*""care"" + 0.009*""work"" + 0.008*""’"" + 0.008*""social"" + 0.006*""Children"" + 0.006*""support"" + 0.006*""people"" + 0.005*""young"" + 0.005*""managers""']"
80445,cambridgeshire,https://files.ofsted.gov.uk/v1/file/50056032,Requires improvement,short,Dominic Stevens,14/01/2019,18/01/2019,18/02/19,file:///./80445_cambridgeshire,Good,,,0.18820341531624715,Sentiment positive,"['0.037*""children"" + 0.016*""work"" + 0.013*""’"" + 0.009*""social"" + 0.008*""care"" + 0.008*""well"" + 0.008*""good"" + 0.008*""people"" + 0.007*""authority"" + 0.007*""needs""', '0.035*""children"" + 0.016*""work"" + 0.014*""’"" + 0.012*""care"" + 0.010*""well"" + 0.008*""local"" + 0.008*""good"" + 0.007*""plans"" + 0.007*""social"" + 0.006*""impact""', '0.026*""children"" + 0.012*""work"" + 0.009*""care"" + 0.008*""’"" + 0.007*""authority"" + 0.006*""social"" + 0.006*""needs"" + 0.005*""local"" + 0.005*""good"" + 0.005*""However""']"
80446,central bedfordshire,https://files.ofsted.gov.uk/v1/file/50178619,Good,short,Margaret Burke,17/01/2022,21/01/2022,04/03/22,file:///./80446_central bedfordshire,Good,Good,Good,0.196023841478387,Sentiment positive,"['0.023*""children"" + 0.012*""’"" + 0.011*""care"" + 0.009*""support"" + 0.007*""services"" + 0.006*""well"" + 0.006*""need"" + 0.005*""help"" + 0.005*""workers"" + 0.005*""needs""', '0.032*""children"" + 0.014*""’"" + 0.012*""care"" + 0.010*""support"" + 0.007*""services"" + 0.007*""workers"" + 0.007*""help"" + 0.006*""need"" + 0.006*""needs"" + 0.006*""good""', '0.041*""children"" + 0.019*""support"" + 0.014*""’"" + 0.010*""well"" + 0.008*""care"" + 0.008*""help"" + 0.007*""services"" + 0.007*""work"" + 0.007*""workers"" + 0.007*""child""']"
80447,cheshire east,https://files.ofsted.gov.uk/v1/file/50141243,Requires improvement,standard,Shabana Abasi,18/11/2019,29/11/2019,09/01/20,file:///./80447_cheshire east,Requires improvement,,,0.16129967543172297,Sentiment positive,"['0.032*""children"" + 0.015*""care"" + 0.014*""’"" + 0.007*""well"" + 0.007*""support"" + 0.007*""social"" + 0.006*""good"" + 0.006*""services"" + 0.006*""plans"" + 0.006*""authority""', '0.024*""children"" + 0.011*""care"" + 0.009*""’"" + 0.008*""social"" + 0.007*""work"" + 0.006*""plans"" + 0.006*""well"" + 0.006*""authority"" + 0.006*""good"" + 0.006*""families""', '0.026*""children"" + 0.013*""care"" + 0.011*""’"" + 0.009*""social"" + 0.008*""needs"" + 0.007*""support"" + 0.006*""workers"" + 0.006*""work"" + 0.006*""well"" + 0.006*""local""']"
80448,cheshire west and chester,https://files.ofsted.gov.uk/v1/file/50074948,Good,short,Mandy Nightingale,18/03/2019,22/03/2019,08/05/19,file:///./80448_cheshire west and chester,Good,,,0.18010624054022578,Sentiment positive,"['0.039*""children"" + 0.017*""’"" + 0.013*""care"" + 0.009*""workers"" + 0.007*""child"" + 0.007*""Children"" + 0.007*""social"" + 0.007*""services"" + 0.007*""local"" + 0.007*""needs""', '0.035*""children"" + 0.018*""’"" + 0.012*""care"" + 0.009*""workers"" + 0.009*""social"" + 0.008*""services"" + 0.006*""local"" + 0.006*""child"" + 0.006*""Children"" + 0.006*""well""', '0.032*""children"" + 0.019*""’"" + 0.013*""care"" + 0.010*""social"" + 0.007*""workers"" + 0.007*""authority"" + 0.007*""services"" + 0.006*""well"" + 0.006*""child"" + 0.005*""local""']"
80449,bradford,https://files.ofsted.gov.uk/v1/file/50206434,Inadequate,standard,Matt Reed,21/11/2022,02/12/2022,31/01/23,file:///./80449_bradford,Inadequate,Inadequate,Inadequate,0.10332680367649046,Sentiment positive,"['0.021*""children"" + 0.014*""social"" + 0.013*""’"" + 0.011*""care"" + 0.005*""services"" + 0.005*""work"" + 0.004*""local"" + 0.004*""support"" + 0.004*""workers"" + 0.004*""plans""', '0.038*""children"" + 0.020*""’"" + 0.015*""care"" + 0.013*""social"" + 0.008*""workers"" + 0.007*""services"" + 0.007*""work"" + 0.006*""local"" + 0.005*""authority"" + 0.005*""support""', '0.046*""children"" + 0.016*""’"" + 0.012*""care"" + 0.010*""social"" + 0.007*""plans"" + 0.006*""authority"" + 0.006*""services"" + 0.006*""workers"" + 0.005*""support"" + 0.005*""local""']"
80450,london corporation,https://files.ofsted.gov.uk/v1/file/50149902,Outstanding,short,Matt Reed,02/03/2020,06/03/2020,06/04/20,file:///./80450_london corporation,Outstanding,,,0.2065441989467962,Sentiment positive,"['0.038*""children"" + 0.014*""care"" + 0.012*""’"" + 0.010*""needs"" + 0.009*""work"" + 0.008*""well"" + 0.007*""services"" + 0.007*""leavers"" + 0.006*""families"" + 0.006*""Children""', '0.024*""children"" + 0.014*""care"" + 0.011*""needs"" + 0.009*""’"" + 0.008*""well"" + 0.008*""service"" + 0.007*""Children"" + 0.007*""ensure"" + 0.007*""work"" + 0.007*""local""', '0.028*""children"" + 0.017*""care"" + 0.009*""well"" + 0.008*""’"" + 0.008*""ensure"" + 0.008*""needs"" + 0.007*""service"" + 0.007*""families"" + 0.007*""services"" + 0.006*""local""']"
80451,wakefield,https://files.ofsted.gov.uk/v1/file/50174905,Good,standard,Victoria Horsefield,08/11/2021,19/11/2021,05/01/22,file:///./80451_wakefield,Outstanding,Good,Good,0.2174368164042077,Sentiment positive,"['0.019*""children"" + 0.011*""’"" + 0.009*""care"" + 0.007*""leavers"" + 0.006*""November"" + 0.006*""services"" + 0.005*""Wakefield"" + 0.005*""leaders"" + 0.005*""well"" + 0.005*""support""', '0.038*""children"" + 0.015*""’"" + 0.014*""care"" + 0.009*""support"" + 0.009*""services"" + 0.007*""service"" + 0.007*""good"" + 0.007*""workers"" + 0.007*""quality"" + 0.007*""well""', '0.028*""children"" + 0.014*""’"" + 0.013*""care"" + 0.009*""services"" + 0.007*""service"" + 0.007*""Children"" + 0.007*""Wakefield"" + 0.007*""leaders"" + 0.007*""workers"" + 0.006*""leavers""']"
80453,york,https://files.ofsted.gov.uk/v1/file/50182483,Requires improvement,standard,Matt Reed,07/03/2022,18/03/2022,04/05/22,file:///./80453_york,Requires improvement,Requires improvement,Requires improvement,0.1621209151620737,Sentiment positive,"['0.037*""children"" + 0.013*""’"" + 0.011*""care"" + 0.010*""support"" + 0.009*""services"" + 0.008*""work"" + 0.007*""local"" + 0.007*""social"" + 0.006*""authority"" + 0.006*""March""', '0.034*""children"" + 0.013*""’"" + 0.012*""care"" + 0.010*""services"" + 0.010*""support"" + 0.008*""local"" + 0.007*""work"" + 0.007*""needs"" + 0.006*""improvement"" + 0.006*""authority""', '0.039*""children"" + 0.012*""’"" + 0.009*""care"" + 0.008*""social"" + 0.008*""services"" + 0.007*""March"" + 0.007*""local"" + 0.007*""workers"" + 0.006*""quality"" + 0.006*""child""']"
80454,cornwall,https://files.ofsted.gov.uk/v1/file/50122097,Outstanding,short,Emmy Tomsett,14/10/2019,18/10/2019,05/11/19,file:///./80454_cornwall,Outstanding,,,0.24732514217808294,Sentiment positive,"['0.015*""children"" + 0.014*""well"" + 0.012*""’"" + 0.011*""care"" + 0.008*""young"" + 0.007*""leaders"" + 0.007*""work"" + 0.007*""effective"" + 0.007*""service"" + 0.007*""quality""', '0.031*""children"" + 0.014*""care"" + 0.013*""well"" + 0.011*""work"" + 0.010*""’"" + 0.010*""quality"" + 0.009*""social"" + 0.009*""workers"" + 0.009*""support"" + 0.008*""effective""', '0.008*""children"" + 0.008*""care"" + 0.008*""well"" + 0.006*""young"" + 0.006*""’"" + 0.005*""people"" + 0.005*""quality"" + 0.004*""work"" + 0.004*""leaders"" + 0.004*""services""']"
80455,isles of scilly,https://files.ofsted.gov.uk/v1/file/50135438,Good,short,Joy Howick,14/10/2019,18/10/2019,19/12/19,file:///./80455_isles of scilly,Outstanding,,,0.16472657244716069,Sentiment positive,"['0.031*""children"" + 0.016*""’"" + 0.012*""services"" + 0.009*""work"" + 0.009*""local"" + 0.008*""support"" + 0.008*""well"" + 0.007*""families"" + 0.006*""care"" + 0.005*""workers""', '0.033*""children"" + 0.021*""’"" + 0.008*""services"" + 0.008*""local"" + 0.008*""well"" + 0.008*""families"" + 0.007*""support"" + 0.007*""practice"" + 0.006*""Senior"" + 0.006*""workers""', '0.023*""children"" + 0.016*""’"" + 0.007*""services"" + 0.007*""well"" + 0.006*""local"" + 0.006*""families"" + 0.006*""support"" + 0.006*""social"" + 0.005*""work"" + 0.005*""need""']"
80456,coventry,https://files.ofsted.gov.uk/v1/file/50190643,Good,standard,Nick Bennison,20/06/2022,01/07/2022,12/08/22,file:///./80456_coventry,Good,Good,Good,0.1733325299154993,Sentiment positive,"['0.027*""children"" + 0.016*""’"" + 0.013*""local"" + 0.011*""authority"" + 0.010*""services"" + 0.010*""social"" + 0.010*""work"" + 0.008*""people"" + 0.008*""Children"" + 0.007*""care""', '0.036*""children"" + 0.014*""’"" + 0.014*""local"" + 0.013*""work"" + 0.013*""authority"" + 0.011*""social"" + 0.009*""care"" + 0.009*""services"" + 0.008*""young"" + 0.008*""well""', '0.034*""children"" + 0.018*""’"" + 0.014*""local"" + 0.013*""services"" + 0.012*""authority"" + 0.011*""social"" + 0.011*""work"" + 0.008*""care"" + 0.008*""workers"" + 0.007*""child""']"
80458,darlington,https://files.ofsted.gov.uk/v1/file/50200877,Good,standard,Vicky Metheringham,10/10/2022,21/10/2022,02/12/22,file:///./80458_darlington,Good,Good,Outstanding,0.1982786019310407,Sentiment positive,"['0.009*""children"" + 0.008*""’"" + 0.007*""care"" + 0.005*""workers"" + 0.005*""social"" + 0.005*""families"" + 0.004*""well"" + 0.004*""local"" + 0.004*""leaders"" + 0.004*""support""', '0.031*""children"" + 0.015*""’"" + 0.012*""care"" + 0.012*""support"" + 0.011*""social"" + 0.008*""workers"" + 0.007*""leavers"" + 0.007*""work"" + 0.007*""families"" + 0.006*""local""', '0.036*""children"" + 0.018*""’"" + 0.017*""care"" + 0.012*""support"" + 0.009*""workers"" + 0.009*""services"" + 0.008*""social"" + 0.008*""well"" + 0.007*""leavers"" + 0.007*""local""']"
80459,derby,https://files.ofsted.gov.uk/v1/file/50183218,Outstanding,short,Julie Knight,21/03/2022,25/03/2022,11/05/22,file:///./80459_derby,Outstanding,Outstanding,Good,0.2161497500221872,Sentiment positive,"['0.040*""children"" + 0.021*""’"" + 0.011*""support"" + 0.010*""help"" + 0.010*""Children"" + 0.009*""services"" + 0.008*""care"" + 0.008*""work"" + 0.007*""workers"" + 0.007*""Derby""', '0.042*""children"" + 0.015*""’"" + 0.010*""support"" + 0.009*""needs"" + 0.008*""care"" + 0.008*""Children"" + 0.007*""help"" + 0.007*""work"" + 0.007*""workers"" + 0.006*""services""', '0.039*""children"" + 0.015*""’"" + 0.009*""care"" + 0.009*""support"" + 0.008*""needs"" + 0.007*""Children"" + 0.007*""help"" + 0.006*""services"" + 0.006*""Derby"" + 0.006*""quality""']"
830,derbyshire,https://files.ofsted.gov.uk/v1/file/50110094,Requires improvement,short,Julie Knight,08/07/2019,12/07/2019,19/09/19,file:///./830_derbyshire,Good,,,0.16477437134814177,Sentiment positive,"['0.024*""children"" + 0.011*""care"" + 0.011*""’"" + 0.011*""service"" + 0.010*""workers"" + 0.009*""quality"" + 0.007*""social"" + 0.007*""services"" + 0.007*""support"" + 0.006*""leavers""', '0.031*""children"" + 0.010*""care"" + 0.010*""’"" + 0.008*""support"" + 0.008*""social"" + 0.008*""quality"" + 0.007*""workers"" + 0.007*""service"" + 0.006*""leavers"" + 0.006*""services""', '0.027*""children"" + 0.019*""care"" + 0.010*""’"" + 0.010*""service"" + 0.009*""support"" + 0.009*""social"" + 0.007*""workers"" + 0.007*""leavers"" + 0.006*""services"" + 0.006*""practice""']"
80461,devon,https://files.ofsted.gov.uk/v1/file/50149435,Inadequate,standard,Steve Lowe,20/01/2020,31/01/2020,17/03/20,file:///./80461_devon,Inadequate,,,0.12337952145483538,Sentiment positive,"['0.030*""children"" + 0.010*""care"" + 0.009*""’"" + 0.007*""young"" + 0.007*""workers"" + 0.007*""people"" + 0.006*""social"" + 0.006*""work"" + 0.006*""well"" + 0.005*""local""', '0.027*""children"" + 0.009*""care"" + 0.008*""’"" + 0.007*""people"" + 0.006*""workers"" + 0.006*""social"" + 0.006*""leavers"" + 0.006*""families"" + 0.006*""local"" + 0.005*""child""', '0.022*""children"" + 0.010*""care"" + 0.007*""people"" + 0.006*""work"" + 0.006*""social"" + 0.006*""young"" + 0.006*""’"" + 0.005*""leavers"" + 0.005*""child"" + 0.004*""risk""']"
80462,doncaster,https://files.ofsted.gov.uk/v1/file/50181024,Requires improvement,standard,Tom Anthony,14/02/2022,25/02/2022,08/04/22,file:///./80462_doncaster,Inadequate,nan,nan,0.1511958159685433,Sentiment positive,"['0.044*""children"" + 0.018*""’"" + 0.011*""care"" + 0.009*""support"" + 0.007*""social"" + 0.007*""services"" + 0.006*""help"" + 0.006*""child"" + 0.006*""well"" + 0.005*""work""', '0.032*""children"" + 0.015*""’"" + 0.009*""care"" + 0.008*""support"" + 0.005*""work"" + 0.005*""social"" + 0.005*""Doncaster"" + 0.005*""help"" + 0.005*""plans"" + 0.005*""well""', '0.031*""children"" + 0.018*""’"" + 0.010*""care"" + 0.009*""support"" + 0.007*""services"" + 0.006*""families"" + 0.005*""well"" + 0.005*""social"" + 0.005*""progress"" + 0.005*""managers""']"
838,dorset,https://files.ofsted.gov.uk/v1/file/50172438,Good,standard,Steve Lowe,27/09/2021,08/10/2021,19/11/21,file:///./838_dorset,Outstanding,Good,Good,0.19221970879757752,Sentiment positive,"['0.024*""children"" + 0.012*""care"" + 0.009*""’"" + 0.008*""families"" + 0.008*""Dorset"" + 0.008*""leavers"" + 0.007*""local"" + 0.006*""services"" + 0.006*""support"" + 0.006*""good""', '0.031*""children"" + 0.016*""care"" + 0.016*""’"" + 0.007*""local"" + 0.007*""leavers"" + 0.006*""work"" + 0.006*""families"" + 0.006*""good"" + 0.006*""Dorset"" + 0.006*""well""', '0.013*""children"" + 0.009*""care"" + 0.008*""’"" + 0.006*""Dorset"" + 0.005*""leavers"" + 0.004*""services"" + 0.004*""families"" + 0.004*""work"" + 0.004*""well"" + 0.004*""Children""']"
80464,dudley,https://files.ofsted.gov.uk/v1/file/50204402,Requires improvement,standard,John Roughton,31/10/2022,11/11/2022,13/01/23,file:///./80464_dudley,Requires improvement,Requires improvement,Requires improvement,0.1605305788394432,Sentiment positive,"['0.040*""children"" + 0.017*""’"" + 0.014*""care"" + 0.010*""needs"" + 0.009*""Dudley"" + 0.007*""services"" + 0.006*""service"" + 0.006*""assessments"" + 0.006*""Children"" + 0.005*""leavers""', '0.025*""children"" + 0.010*""care"" + 0.008*""’"" + 0.006*""needs"" + 0.005*""Dudley"" + 0.005*""work"" + 0.005*""services"" + 0.004*""well"" + 0.004*""Children"" + 0.004*""social""', '0.019*""children"" + 0.011*""care"" + 0.010*""needs"" + 0.008*""’"" + 0.005*""well"" + 0.004*""child"" + 0.004*""service"" + 0.004*""social"" + 0.004*""services"" + 0.004*""plans""']"
