,item number,data item,croydon text,croydon main reason for recording data item,essex text,essex main reason for recording local data item,sutton text,sutton main reason for recording local data item,camden text,camden main reason for recording local data item
379,Item 372,Who will sign the home/school agreement whilst the child is in placement?,,,,,Who will sign the home/school agreement while the child/young person is in placement?,1. For social work practitioners and/or the child/YP,,
380,Item 373,Circumstances under which the carer can give approval for the child to take part in school trips,,,,,Circumstances under which the carer can give approval for the child/young person to take part in school trips,1. For social work practitioners and/or the child/YP,,
381,Item 374,Circumstances under which the carer should obtain in advance the responsible authority's approval for the child/young person to take part in school trips?,,,,,Circumstances under which the carer should obtain in advance the responsible authority's approval for the child/young person to take part in school trips?,1. For social work practitioners and/or the child/YP,,
387,Item 379,Child special needs,,,,,"Child special needs, including communication",1. For social work practitioners and/or the child/YP,,
406,Item 398,Last Optician Visit,,,,,"Date of most recent Optician appointment
Optician check",1. For social work practitioners and/or the child/YP,,
430,Item 422,Sexual health,,,,,Sexual health,1. For social work practitioners and/or the child/YP,,
471,Item 463,Medical Check Date,,,,,"Medical Check Date
Health assessment",1. For social work practitioners and/or the child/YP,,
480,Item 471,Relationship (other children in placement),,,,,With other children in placement,1. For social work practitioners and/or the child/YP,,
481,Item 472,Relationship (other pupils/students),,,,,With other pupils/students,1. For social work practitioners and/or the child/YP,,
482,Item 473,Relationship (parents),,,,,With Parents,1. For social work practitioners and/or the child/YP,,
483,Item 474,Relationship (other adults in family),,,,,With other adults in the family,1. For social work practitioners and/or the child/YP,,
484,Item 475,Relationship (carers),,,,,With carers,1. For social work practitioners and/or the child/YP,,
485,Item 476,Relationship (teachers),,,,,With teachers,1. For social work practitioners and/or the child/YP,,
486,Item 477,Relationship (social worker),,,,,With Social Worker,1. For social work practitioners and/or the child/YP,,
487,Item 478,Relationship (other professionals),,,,,With other professionals,1. For social work practitioners and/or the child/YP,,
488,Item 479,Relationship (any significant others),,,,,With any significant others,1. For social work practitioners and/or the child/YP,,
506,Item 497,Contact (Supervisor),,,,,Supervisor,1. For social work practitioners and/or the child/YP,,
509,Item 500,Contact risks and contingencies,,,,,Risks and Contingencies,1. For social work practitioners and/or the child/YP,,
511,Item 502,Details of friend/family placement connections and placement details,,,,,"If yes, give details of the Family and Friends connections and placement details",1. For social work practitioners and/or the child/YP,,
514,Item 505,Child's Family and Social Presentation,,,,,Family and Social Presentation,1. For social work practitioners and/or the child/YP,,
537,Item 528,In what circumstances should the social worker be consulted by the carer about an overnight stay or sleepover?,,,,,"The carer can give approval for the child/young person to stay overnight away from the placement under the following circumstances

The carer should obtain in advance the responsible authority's approval for the child/young person to stay overnight away from the placement in the following circumstances",1. For social work practitioners and/or the child/YP,,
538,Item 529,Comments on SW consultation on overnight stays,,,,,"Babysitting arrangements for child, including sons and daughters (Notes (see guidance))

Overnight with friends (Notes (see guidance))",1. For social work practitioners and/or the child/YP,,
539,Item 530,Babysitting arrangements,,,,,"Babysitting arrangements for child, including sons and daughters ",1. For social work practitioners and/or the child/YP,,
540,Item 531,Overnights with friends,,,,,Overnights with friends (sleepovers),1. For social work practitioners and/or the child/YP,,
541,Item 532,"Holidays within England, Scotland, Wales, and Northern Ireland",,,,,"Holidays within England, Scotland, Wales, and Northern Ireland",1. For social work practitioners and/or the child/YP,,
542,Item 533,"Holidays outside England, Scotland, Wales, and Northern Ireland",,,,,"Holidays outside England, Scotland, Wales, and Northern Ireland",1. For social work practitioners and/or the child/YP,,
554,Item 545,Carer's relationship to child/YP,,,,,Carer's relationship to child/young person,1. For social work practitioners and/or the child/YP,,
555,Item 546,Parents have agreed to inform the Authority of any relevant change in circumstances,,,,,Parents have agreed to inform the Authority of any relevant change in circumstances,1. For social work practitioners and/or the child/YP,,
557,Item 548,"If the child is looked after but the responsible LA does not have parental authority: what are the responsibilities of the authority, the child's parents, and person with PR?",,,,,What are the respective responsibilities of the responsible authority and the child's parents or the person with parental responsibility for the child?,1. For social work practitioners and/or the child/YP,,
558,Item 549,If the child is looked after but the responsible LA does not have parental authority: what aspects of day to day care have been delegate by the child/child's parents?,,,,, What aspects of day to day care have been delegate by the child/child's parents?,1. For social work practitioners and/or the child/YP,,
559,Item 550,If the child is looked after but the responsible LA does not have parental authority: What is the expected duration of the arrangements? And what steps are to be taken to being the arrangements to an end?,,,,, What is the expected duration of the arrangements? And what steps are to be taken to being the arrangements to an end?,1. For social work practitioners and/or the child/YP,,
573,Item 563,Carer confidentiality requirements,,,,,Confidentiality requirements (if carer's contact numbers need to be confidential),2. For management oversight of case decisions and accountability purposes,,
603,Item 592,Views/requests about self-care plan,,,,1. For social work practitioners and/or the child/YP,Views and requests of the young person about their self-care and skills programme,1. For social work practitioners and/or the child/YP,,
610,Item 599,Child's view of independence,,,,1. For social work practitioners and/or the child/YP,Young person view of identity,1. For social work practitioners and/or the child/YP,,
612,Item 601,Other's view of independence,,,,1. For social work practitioners and/or the child/YP,Views of other important people,1. For social work practitioners and/or the child/YP,,
613,Item 602,Independence score,,,,,Being Independent Support Needs,1. For social work practitioners and/or the child/YP,,
623,Item 611,"If another type of care plan, detail it",,,,,"If other, please state",2. For management oversight of case decisions and accountability purposes,,
677,Item 665,Other's views on plan?,,,,,"What do other important people in my life (e.g. teacher, health professional, therapist, youth worker etc) say about how things are going?",1. For social work practitioners and/or the child/YP,,
779,Item 766,Period/type of placement requested,,,,,Type of placement/accommodation,2. For management oversight of case decisions and accountability purposes,,
783,Item 770,What type of placement change is required?,,,,,"Is this a request to make a young person Looked After, or to change a placement of a young person that is already Looked After, or to step down for a young person this is no longer Looked After?",1. For social work practitioners and/or the child/YP,,
820,Item 807,Placement Matching Criteria: Ethnicity,,,,,Ethnicity,1. For social work practitioners and/or the child/YP,,
821,Item 808,Carer's Ethnicity,,,,,"Ethnicity of Carer 1
Ethnicity of Carer 2",1. For social work practitioners and/or the child/YP,,
825,Item 812,Placement Matching Criteria: carer has car,,,,,Does the carer own a car and drive?,1. For social work practitioners and/or the child/YP,,
828,Item 815,Placement Matching Criteria: availability to child,,,,,What is the general availability of the carer to the child?,1. For social work practitioners and/or the child/YP,,
837,Item 824,Risks to the placement,,,,,Risks to the placement,1. For social work practitioners and/or the child/YP,,
842,Item 829,Placement Matching Criteria: Enhancement fee,,,,,"If the Enhancement Fee is requested, what is the justification for this?",1. For social work practitioners and/or the child/YP,,
868,Item 855,Details of expectations (outcomes) for child/young person from CLA request,,,,,Outcome,1. For social work practitioners and/or the child/YP,,
869,Item 856,How will expected placement outcomes be achieved within CLA request,,,,,How will these be achieved,1. For social work practitioners and/or the child/YP,,
871,Item 858,Views on placement (Parents),,,,,Parent (s),1. For social work practitioners and/or the child/YP,,
872,Item 859,Views on placement (Current Carer),,,,,Current Carer,1. For social work practitioners and/or the child/YP,,
873,Item 860,Views on placement (Significant others),,,,,"Significant Others
",1. For social work practitioners and/or the child/YP,,
892,Item 879,Child's allowance in placement,,,,,Weekly Allowance,3. For LA reporting purposes and generating performance indicators,,
905,Item 892,Date foster search begins,,,,,Date of Internal Foster Carer Search,,,
907,Item 894,"If not using internal fostering, why?",,,,,If the search was not successful please explain why a match was not made. Explain the next steps to find a placement; Further comments,1. For social work practitioners and/or the child/YP,,
909,Item 896,Details of placement search: Name of placement/Agency contacted,,,,,Name of Person/Agency contacted,1. For social work practitioners and/or the child/YP,,
910,Item 897,Details of placement search: Date of contact,,,,,Date of Contact,1. For social work practitioners and/or the child/YP,,
911,Item 898,Details of placement search: Record of contact,,,,,Record of Contact,1. For social work practitioners and/or the child/YP,,
912,Item 899,Details of placement search: Outcome of contact,,,,,Outcome of Contact,1. For social work practitioners and/or the child/YP,,
960,Item 947,Placement statement of purpose,,,,,Statement of purpose,1. For social work practitioners and/or the child/YP,,
961,Item 948,Placement health and safety report,,,,,Health and safety report received,1. For social work practitioners and/or the child/YP,,
967,Item 954,Foster Frameworki ID,,,,,Frameworki ID,1. For social work practitioners and/or the child/YP,,
973,Item 960,Individual child agreement for Independent Fostering,,,,,Individual Child Agreement completed and faxed to placement (Only applicable if IFA/Residential Unit is being used),1. For social work practitioners and/or the child/YP,,
974,Item 961,Foster carer DBS check,,,,,DBS check date,1. For social work practitioners and/or the child/YP,,
975,Item 962,DBS approved by IFA?,,,,,Are DBS check trace have been explored and approved by IFA?,1. For social work practitioners and/or the child/YP,,
976,Item 963,Date LA Head of Service informed about DBS trace and approved check?,,,,,Date Sutton Head of Service informed about the trace and approved the check?,1. For social work practitioners and/or the child/YP,,
977,Item 964,Date form F seen?,,,,,Date form F report seen?,1. For social work practitioners and/or the child/YP,,
978,Item 965,Date of DBS for house members over 16,,,,,Date DBS check for members of the household 16+,1. For social work practitioners and/or the child/YP,,
979,Item 966,Approval of DBS check,,,,,Approval and Category of approval,1. For social work practitioners and/or the child/YP,,
980,Item 967,Are there any other children in the foster placement?,,,,,Any children in placement?,1. For social work practitioners and/or the child/YP,,
981,Item 968,Are there any issues with the standard of care in the placement?,,,,,Any Standard of care issues?,1. For social work practitioners and/or the child/YP,,
982,Item 969,Foster placement outcome,,,,,Outcome,1. For social work practitioners and/or the child/YP,,
1015,Item 1001,Details of positive behaviours and activities in the child/young persons life.,,,,,Details of positive behaviours and activities in the child/young persons life.,1. For social work practitioners and/or the child/YP,,
1019,Item 1005,Child behaviours (negative) ,,,,,Description,1. For social work practitioners and/or the child/YP,,
1021,Item 1007,When did the child's negative behaviours start,,,,,When started,1. For social work practitioners and/or the child/YP,,
1022,Item 1008,How and where did the child's behaviours start?,,,,,Details - How and where etc,1. For social work practitioners and/or the child/YP,,
1024,Item 1010,Have the child's offences been added to the frameworking offences section?,,,,,Confirm that all offences have been added to frameworking offences section,1. For social work practitioners and/or the child/YP,,
1025,Item 1011,Are there any outstanding offences?,,,,,Are there any outstanding offences?,1. For social work practitioners and/or the child/YP,,
1026,Item 1012,Does the child / young person display behaviour patterns including incidents to self or others that have been of concern to current or previous carers?,,,,,Does the child / young person display behaviour patterns including incidents to self or others that have been of concern to current or previous carers?,1. For social work practitioners and/or the child/YP,,
1027,Item 1013,Details of Child's negative behaviours to self or others.,,,,,"If so, please explain why. Please provide dates of any incidents where possible",1. For social work practitioners and/or the child/YP,,
1029,Item 1015,Is there support for the child's negative behaviours,,,,,Has/Is the child or young person receiving support to deal with these issues,1. For social work practitioners and/or the child/YP,,
1070,Item 1053,Check required by (within 5 days of request),,,,,Check required by within 5 days of request),2. For management oversight of case decisions and accountability purposes,,
1073,Item 1056,Date of this care plan,,,,,"Date of this plan
Care Plan",2. For management oversight of case decisions and accountability purposes,,
1076,Item 1059,Was the review in the child's preferred location?,,,,,"Where did your review take place, and was it where you wanted it?",1. For social work practitioners and/or the child/YP,,
1077,Item 1060,Who did the child want at the review?,,,,,Who did I say I would like to be involved?,1. For social work practitioners and/or the child/YP,,
1121,Item 1104,Decisions from the last care panel,,,,,Plans made at my last review,1. For social work practitioners and/or the child/YP,,
1153,Item 1136,Date of last review meeting,,,,,Date of last review meeting (if applicable),1. For social work practitioners and/or the child/YP,,
1158,Item 1141,Decisions from the last LAC review,,,,,Decisions,1. For social work practitioners and/or the child/YP,,
1159,Item 1142,People/agency responsible for decisions since last LAC review,,,,,People / Agency responsible,1. For social work practitioners and/or the child/YP,,
1160,Item 1143,Target date for decisions since last LAC review,,,,,Target date,1. For social work practitioners and/or the child/YP,,
1161,Item 1144,Update on decisions since last LAC review,,,,,"Update on Decision

Please report on  progress on decisions made at the last review (please review all decisions including those listed for professionals from other agencies so please liaise with them to clarify progress made to assist you in completing this document)",1. For social work practitioners and/or the child/YP,,
1204,Item 1187,Has the independent officer seen the personal education plan?,,,,,Has the PEP been shared with the IRO?,1. For social work practitioners and/or the child/YP,,
1205,Item 1188,Have actions suggested by the personal education plan been progressed?,,,,,Have all the recommended actions from the PEP been progressed?,1. For social work practitioners and/or the child/YP,,
1213,Item 1196,Dates child/YP seen since becoming looked after or since last looked after review,,,,,Dates child/young person seen since becoming Looked After or since last Looked After Review,1. For social work practitioners and/or the child/YP,,
1214,Item 1197,Dates/details of other significant visits/meetings with family/professionals,,,,,Dates and details of other significant visits and meeting with family and / or professionals,1. For social work practitioners and/or the child/YP,,
1215,Item 1198,Professional's involvement in review,,,,,Professionals' involvement,1. For social work practitioners and/or the child/YP,,
1216,Item 1199,"If any important people have not contributed to the review, why?",,,,,"If any of the above have not contributed to the assessment, please state why.",1. For social work practitioners and/or the child/YP,,
1217,Item 1200,What is the permanent care plan for the child?,,,,,What is the permanent car plan for the child?,1. For social work practitioners and/or the child/YP,,
1218,Item 1201,What realistic options are there for permanence?,,,,,What are other realistic options for permanence?,1. For social work practitioners and/or the child/YP,,
1219,Item 1202,Date of referral to adoption and permanency service?,,,,,Date of referral to the Adoption and permanency Service?,1. For social work practitioners and/or the child/YP,,
1221,Item 1204,Date of first permanency planning meeting?,,,,,Date of first Permanency Planning Meeting?,1. For social work practitioners and/or the child/YP,,
1222,Item 1205,Date of final permanency planning meeting?,,,,,Date of Final Permanency Planning meeting?,1. For social work practitioners and/or the child/YP,,
1225,Item 1208,How are the most recent actions form a permanency planning meeting being progressed?,,,,,How are these actions being progressed?,1. For social work practitioners and/or the child/YP,,
1227,Item 1210,Date of ADM Decision,,,,,Dare of ADM Decision,1. For social work practitioners and/or the child/YP,,
1228,Item 1211,Date of Matching Decision,,,,,Date of Matching Decision,,,
1229,Item 1212,Date of Family Finding Meeting,,,,,Date of Family Finding Meeting,1. For social work practitioners and/or the child/YP,,
1230,Item 1213,How are health needs met within the placement?,,,,,Child/young person's developmental needs and how these are met within the placement,1. For social work practitioners and/or the child/YP,,
1231,Item 1214,Has the health plan been completed and uploaded to frameworki?,,,,,Has the health plan been completed and uploaded to frameworki?,1. For social work practitioners and/or the child/YP,,
1232,Item 1215,Have all the recommended health actions been progressed?,,,,,Have all the recommended actions been progressed?,1. For social work practitioners and/or the child/YP,,
1237,Item 1220,Provision/equipment required,,,,1. For social work practitioners and/or the child/YP,Provision/equipment required,1. For social work practitioners and/or the child/YP,,
1238,Item 1221,Additional arrangements/issues that need to be covered in a placement plan,,,,,Additional arrangements/issues that need to be covered in the placement plan,1. For social work practitioners and/or the child/YP,,
1240,Item 1223,Any circumstances or information not specifically addressed elsewhere in the care plan that will be communicated to the parent (i.e. if the child goes missing),,,,,Any circumstances or information not specifically addressed elsewhere in this document that will be communicated to the parent (i.e. if the child goes missing),1. For social work practitioners and/or the child/YP,,
1242,Item 1225,Circumstances in which it is necessary to obtain in advance the approval of the responsible authority for the child to live even temporarily in a household other than the parent's household,,,,1. For social work practitioners and/or the child/YP,Circumstances in which it is necessary to obtain in advance the approval of the responsible authority for the child to live even temporarily in a household other than the parent's household,1. For social work practitioners and/or the child/YP,,
1243,Item 1226,What arrangements have been made for a request to change the criteria,,,,,What arrangements have been made for a request to change the criteria,1. For social work practitioners and/or the child/YP,,
1245,Item 1228,Any issues to placement stability?,,,,1. For social work practitioners and/or the child/YP,Any issues to placement stability?,1. For social work practitioners and/or the child/YP,,
1250,Item 1233,"Any other issues for consultation (e.g. children/young people's successes, their views about their next review, venue/format/invitees)?",,,,1. For social work practitioners and/or the child/YP,"Any other issues for consultation (e.g. children/young people's successes, their views about their next review, venue/format/invitees)?",1. For social work practitioners and/or the child/YP,,
1265,Item 1247,What needs to change about the child's situation? What outcomes are sought?,,,,,What needs to change? What outcomes are sought?,1. For social work practitioners and/or the child/YP,,
1318,Item 1300,Addendums to review/plan,,,,,Addendum section. This must be updated when a Finished Episode has been reopened and changes have been made. Please include details of any changes made and the reason for these changes.,1. For social work practitioners and/or the child/YP,,
1319,Item 1301,Team manager's name,,,,,Team manager's name,2. For management oversight of case decisions and accountability purposes,,
1337,Item 1318,Children to be discussed at meeting,,,,,Children to be discussed at meeting,1. For social work practitioners and/or the child/YP,,
1338,Item 1319,Chair of meeting,,,,,Name,1. For social work practitioners and/or the child/YP,,
1339,Item 1320,Social Worker,,,,,Name,1. For social work practitioners and/or the child/YP,,
1340,Item 1321,Team Manager,,,,,Name,1. For social work practitioners and/or the child/YP,,
1341,Item 1322,Other Attendees,,,,,Other attendees to be invited (professionals),1. For social work practitioners and/or the child/YP,,
1342,Item 1323,Young person and family members invited to CLA review,,,,,Young Person and Family members to be invited to CLA Review,1. For social work practitioners and/or the child/YP,,
1343,Item 1324,Professionals/Family members to be notified of CLA Review,,,,,Professionals/Family members to be notified of CLA Review,1. For social work practitioners and/or the child/YP,,
1346,Item 1326,Name,,,,,Name,3. For LA reporting purposes and generating performance indicators,,
1347,Item 1327,Date of Birth,,,,,Date of Birth,3. For LA reporting purposes and generating performance indicators,,
1348,Item 1328,Gender,,,,,Gender,3. For LA reporting purposes and generating performance indicators,,
1349,Item 1329,Ethnicity,,,,,Ethnicity,3. For LA reporting purposes and generating performance indicators,,
1350,Item 1330,CLA Status and history (code),,,,,Code,3. For LA reporting purposes and generating performance indicators,,
1351,Item 1331,CLA Status and history (LAC description),,,,,LAC description,3. For LA reporting purposes and generating performance indicators,,
1352,Item 1332,CLA Status and history (Start Date),,,,,Start Date,,,
1353,Item 1333,CLA Status and history (End date),,,,,End Date,,,
1359,Item 1339,Action after turning 18,,,,,Next action,1. For social work practitioners and/or the child/YP,,
1360,Item 1340,Child's views on becoming an adult,,,,,Becoming an Adult,1. For social work practitioners and/or the child/YP,,
1466,Item 1443,Was this visit 'in person' or 'virtual',,,,1. For social work practitioners and/or the child/YP,Was this visit 'in person' or 'virtual',3. For LA reporting purposes and generating performance indicators,,
1470,Item 1447,"If not seen, reason for Child Not Seen",,,,,"If not seen, reason for Child Not Seen",1. For social work practitioners and/or the child/YP,,
1472,Item 1449,Update of actions from previous visit,,,,,Update of actions from previous visit,1. For social work practitioners and/or the child/YP,,
1473,Item 1450,Purpose of the visit,,,,,Purpose of the visit,1. For social work practitioners and/or the child/YP,,
1477,Item 1454,Children/Young people present (Reason not seen alone),,,,,Children/Young people present (Reason not seen alone),1. For social work practitioners and/or the child/YP,,
1478,Item 1455,Children/Young people not present (Name),,,,,Children/Young people not present (Name),1. For social work practitioners and/or the child/YP,,
1479,Item 1456,Children/Young people not present (Details and Plans),,,,,Children/Young people not present (Details and Plans),1. For social work practitioners and/or the child/YP,,
1482,Item 1459,Discussion with Parent/carers including views,,,,,Discussion with Parent/carers including views,1. For social work practitioners and/or the child/YP,,
1483,Item 1460,Child/Young person's views and wishes,,,,,Child/Young person's views and wishes,1. For social work practitioners and/or the child/YP,,
1484,Item 1461,Outline of any direct work undertaken,,,,,Outline of any direct work undertaken,1. For social work practitioners and/or the child/YP,,
1498,Item 1474,Placement Code,,,,,Placement code,,,
1499,Item 1475,Type of provision,,,,,Type of provision,,,
1500,Item 1476,Legal Status Details,,,,,Legal Status Details,,,
1501,Item 1477,Have looked after episodes been updated,,,,,Confirm that Looked After Episodes have been updated on child Record,,,
1502,Item 1478,Has placement address been updated?,,,,,Confirm that placement address has been update on child record,,,
1508,Item 1483,Passport Application,,,,,Passport Application,2. For management oversight of case decisions and accountability purposes,,
1509,Item 1484,Sports/social clubs,,,,,Sports/social clubs,2. For management oversight of case decisions and accountability purposes,,
1510,Item 1485,More hazardous activities ,,,,,"More hazardous activities, e.g. horse riding, skiing, rock climbing ",2. For management oversight of case decisions and accountability purposes,,
1511,Item 1486,Haircuts/Colouring,,,,,Haircuts/colouring,2. For management oversight of case decisions and accountability purposes,,
1512,Item 1487,Body Piercing,,,,,Body Piercing,2. For management oversight of case decisions and accountability purposes,,
1513,Item 1488,Tattoos,,,,,Tattoos,2. For management oversight of case decisions and accountability purposes,,
1514,Item 1489,Mobile Phone,,,,,Mobile Phone,2. For management oversight of case decisions and accountability purposes,,
1515,Item 1490,Part-time employment,,,,,Part-time employment,2. For management oversight of case decisions and accountability purposes,,
1516,Item 1491,Social media,,,,,"Accessing social networking sites, e.g. Facebook, Twitter, MSN",2. For management oversight of case decisions and accountability purposes,,
1517,Item 1492,Photos or media activity,,,,,Photos or media activity,2. For management oversight of case decisions and accountability purposes,,
1518,Item 1493,"New changes in faith, church or religious observance",,,,,"New changes in faith, church or religious observance",2. For management oversight of case decisions and accountability purposes,,
1519,Item 1494,Attendance at place of worship,,,,,Attendance at place of worship,2. For management oversight of case decisions and accountability purposes,,
1520,Item 1495,Any other diversity matters,,,,,Any other diversity matters,2. For management oversight of case decisions and accountability purposes,,
1521,Item 1496,Life story work,,,,,Life story work,2. For management oversight of case decisions and accountability purposes,,
1522,Item 1497,Name changes ,,,,,"Name changes in nicknames, order of first names, or preferred names",2. For management oversight of case decisions and accountability purposes,,
1523,Item 1498,Agreements for contact: transport,,,,,Transport,2. For management oversight of case decisions and accountability purposes,,
1524,Item 1499,Agreements for contact: arranging,,,,,Arranging,2. For management oversight of case decisions and accountability purposes,,
1525,Item 1500,Agreements for contact: facilitation,,,,,Facilitation,2. For management oversight of case decisions and accountability purposes,,
1526,Item 1501,Agreements for contact: formal supervision,,,,,Formal contact,2. For management oversight of case decisions and accountability purposes,,
1528,Item 1503,Immunisations,,,,1. For social work practitioners and/or the child/YP,Routine Immunisations,2. For management oversight of case decisions and accountability purposes,,
1541,Item 1516,Dental - routine,,,,,Dental - routine including anaesthetic,2. For management oversight of case decisions and accountability purposes,,
1542,Item 1517,"Optician - appointments, tests, glasses",,,,,"Optician - appointments, tests, glasses",2. For management oversight of case decisions and accountability purposes,,
1543,Item 1518,Consent for examination/treatment by school Doctor or Nurse,,,,,Consent to examination/treatment by school Doctor or school Nurse,2. For management oversight of case decisions and accountability purposes,,
1544,Item 1519,Over the counter and prescribed medications,,,,,Administration of prescribed and over the counter medications,2. For management oversight of case decisions and accountability purposes,,
1545,Item 1520,Consent for other health services,,,,,"Referral/consent for child or young person to access or receive other health services, e.g. CAMHS",2. For management oversight of case decisions and accountability purposes,,
1546,Item 1521,Signed consent for school day trips,,,,,Signed consent for school day trips,2. For management oversight of case decisions and accountability purposes,,
1547,Item 1522,Signed consent for school trips over 4 days,,,,,Signed consent for school trips over 4 days,2. For management oversight of case decisions and accountability purposes,,
1548,Item 1523,School trips abroad,,,,,School trips abroad,2. For management oversight of case decisions and accountability purposes,,
1549,Item 1524,School photos,,,,,School photos,2. For management oversight of case decisions and accountability purposes,,
1550,Item 1525,Referral/consent for child or young person to access another education service (please specify the service,,,,,Referral/consent for child or young person to access another education service (please specify the service,2. For management oversight of case decisions and accountability purposes,,
1551,Item 1526,Personal health and social education including sex education,,,,,Personal health and social education including sex education,2. For management oversight of case decisions and accountability purposes,,
23,Item 23,Interpreter required?,,,"Interpreter Required

Communication needs (including language)",1. For social work practitioners and/or the child/YP,,,,
31,Item 31,Date CP Plan started,,,Date plan started,,,,,
