data category,item number,data item,annex a  information captured,903 information captured,croydon text,croydon options,croydon forms,croydon reason for collecton,essex text,essex options,essex forms,essex reason for collection,sutton text,sutton options,sutton forms,sutton reason for collection,camden text,camden options,camden forms,camden reason for collection,were users asked specifically about this item (y/n),did users find it useful?,why was it found useful/not useful?
,Item 229,Specify difficulties/trouble in area lived in,,,Please Specify,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 230,Child or other worried about lived in area or child's choices?,,,Are you or anyone that knows you worried about the community you live in or the choices you make?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 231,Specify worried about area lived in or choices,,,Please Specify,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 234,Actions if child is in difficulty or trouble in the community,,,What will we do if you find yourself in difficulty or trouble in your community?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 236,Measure achievement of aspirations or changes,,,How will we know when it has been achieved?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 237,Actions to achieve aspirations or changes,,,Actions to achieve this,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 238,Who will foster aspirations/change in child's life,,,Who will do this?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 239,When will aspirations/changes be met/made?,,,When?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 240,Aspirations form date,,,Date,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 241,Aspirations form score,,,Score,Pathway Plan (PLAN): 1to10,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 242,Child's view on aspirations,,,My View - Views,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 243,Worker's view on aspirations,,,My Workers View - Views,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 244,Other's view on aspirations,,,Other people's view - Views,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 250,Reason for saving money?,,,Describe the reason for your answer,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 251,Foster carer savings?,,,Are there foster carer savings?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 252,Contacts about savings?,,,Who should be contacted regarding the young person’s savings?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 253,Savings from foster carer  or ISA to be paid to child?,,,Are there any foster carer savings or Junior ISA which need to be paid to the young person?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 254,Details about savings to be given to child?,,,"If yes, please give details?",,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 255,Child in debt?,,,Are you in debt?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 256,How much debt and to whom?,,,Describe how much and to whom,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 257,Child receives benefits?,,,Are you receiving any benefits?,Pathway Plan (PLAN): YesNoNA,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 258,Details of child's benefits?,,,Provide details,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 261,Date of check of welfare benefits rights?,,,When will a welfare rights benefit check occur?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 262,Education support funding,,,Are you receiving funding to support your education?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 263,Details about education support funding,,,Please specify,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 266,Child needs help to save money?,,,What will happen if you need help to manage your money?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 280,Date of financial pathway plan form,,,Date,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 282,Child's views on finance plan,,,My View - Views,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 285,Is the child attending university/interviews outside of area of placement and needs financial assistance?,,,Is the young person planning to go to university outside London and so will require assistance towards the costs of (a) attending interviews / open days and (b) vacation accommodation?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 286,Contingency plan if financial support cannot be given to attend university?,,,What would be the contingency plan if any of the above arrangements fall through or cannot be financed?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 288,Source of finances/funds,,,Source,Pathway Plan (PLAN): Source,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 289,Regularity of finance,,,Regularity,Pathway Plan (PLAN): Regularity,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 290,Amount in financial arrangements?,,,Amount,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 291,DWP/financial appointee comments,,,DWP Appointee/Financial Appointeeship - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 292,Setting Up Home Allowance,,,Setting Up Home Allowance,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 293,Higher Education bursary payments,,,Higher Education bursary payments,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 294,Is there a potential for joint funding for the placement,,,Is there potential for joint funding?,Placement Request: Joint Funding,Placement Request,,,,,,,,,,,,,,,,
,Item 295,Can joint funding be provided for the child's health,,,Health,,"Care Panel
Placement Request",,,,,,,,,,,,,,,,
,Item 296,Can join funding be provided for the child's education,,,Education,,"Care Panel
Placement Request",,,,,,,,,,,,,,,,
,Item 297,Assistance towards costs of vacation accommodation if required by young person,,,Assistance towards costs of vacation accommodation if required by young person,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 298,Student loan,,,Student loan,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 299,Savings due from foster carer(s),,,Savings due from foster carer(s),,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 300,Junior ISA,,,Junior ISA,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 301,Other financial arrangements,,,Other,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 302,Child's support arrangements,,,Support arrangements,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 303,Landlord/letting agent details,,,Landlord/Letting agency details,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 304,Housing register number,,,Housing Register Number,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 320,Living place form date,,,Date,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
Education/Employment/Training,,,,,In Croydon this can all be recorded in the education section of case files,,,,,,,,,,,,,,,,,,
,Item 349,Specify worries about EET choices?,,,Please Specify,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 351,Details of child's educational equipment requirements,,,"If yes, please provide information here",,Placement Request,,,,,,,,,,,,,,,,
,Item 353,How can changes be made to EET?,,,"What will happen if changes need to be made about your education, training or employment?",,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 355,Measures for aspirations/change sin EET?,,,How will we know when it has been achieved?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 356,Actions to achieve aspirations/changes in EET?,,,Actions to achieve this,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 357,Who will perform actions to reach aspirations/changes in EET?,,,Who will do this?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 358,When will actions be made to change EET?,,,When?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 359,Date of EET form?,,,Date,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 363,Other's view on EET form,,,Other people's view - Views,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
Health,,,,,In Croydon this can all be recorded in the Health section of the case file,,,,,,,,,,,,,,,,,,
,Item 378,Child's emotional wellbeing,,,Our Child's / Young Person's Emotional Well-being,,Placement Request,,,,,,,,,,,,,,,,
,Item 399,Midwife / Health Visitor / Family Nurse name,,,Midwife / Health Visitor / Family Nurse: - Name,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 400,Counsellor / Therapist  Name,,,Counsellor / Therapist - Name,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 401,Hospital services Name,,,Hospital services - Name,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 405,Does child see anyone regularly regarding physical/emotional health?,,,Do you see anyone else regularly regarding your physical or emotional health?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 406,Who does child see regularly regarding physical/emotional health?,,,Please specify,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 407,"If child has left care, do they have a copy of their health history?",,,"If you've left care, have you had a copy of your health history?",Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 408,"If in care, has child had a health check in the last 12 months?",,,"If you are still in care, have you had a health check in the last 12 months?",Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 409,Placement/care relevant details of child's medical history,,,Provide details of the child/young person's medical history which is significant to their care,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 433,Child's access requirements?,,,Are there any specific access requirements?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 434,Details of child's access requirements,,,Please provide information,,Placement Request,,,,,,,,,,,,,,,,
,Item 436,Details on medication or medical interventions,,,"If yes, provide the reason for any medication",,Placement Request,,,,,,,,,,,,,,,,
,Item 437,Child/other worried about physical health?,,,Are you or anyone worried about your physical health at the moment?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 439,Does the child have emotional health problems affecting day-to-day living?,,,Do you have an emotional health problem that affects your day to day living?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 440,Details about emotional health problems affecting day-to-day living?,,,Please give details,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 441,Child/other worried about emotional health?,,,Are you or anyone worried about your emotional health at the moment?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 444,Details on health (medical or mental including self harming risks),,,"Give more details of the health, medical or mental health issues including self-harming risks if relevant",,Placement Request,,,,,,,,,,,,,,,,
,Item 445,How can changes be made to improve emotional health?,,,"If yes, what might help to make a positive change?",,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 446,What will the child do in the case of unexpected health problems?,,,What will you do if you have unexpected problems with your health?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 456,Child undergoing age assessment?,,,Is the young person undergoing an Age Assessment?,Pathway Plan (PLAN): Yes/No,"Pathway Plan (PLAN)
Placement Request",,,,,,,,,,,,,,,,
,Item 457,Details on child's age assessment,,,Give more details,,Placement Request,,,,,,,,,,,,,,,,
,Item 458,Child challenging decision of age assessment?,,,Or is the young person challenging the decision of one?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
Contact/friends/relationships,,,,,In Croydon there is a seprate space in the case files for recordning contacts,,,,,,,,,,,,,,,,,,
,Item 482,Details about child's ability to contact who they want to contact?,,,Please give details,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 485,Contact (Address),,,Address & Postcode,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 486,Contact (Telephone),,,Telephone,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 488,Contact (age),,,Age,,Care Panel,,,,,,,,,,,,,,,,
,Item 489,Contact  (address),,,Address,,Care Panel,,,,,,,,,,,,,,,,
,Item 490,Contact (case number),,,Case No,,Care Panel,,,,,,,,,,,,,,,,
,Item 503,Child/other worried about friendship/relationship choices?,,,Are you or anyone that knows you worried about the choices you make about friendships and relationships?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 507,How can child make positive changes to friendships and relationships?,,,"If yes, what might help to make a positive change?",,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 508,What can child do if there are difficulties in relationships?,,,What will you do if there are difficulties with your relationships?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 509,Child's relationship/friendship aspirations/changes?,,,What are our aspirations? / What needs to change?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 510,Measure of child's friendship/relationship aspirations/changes?,,,How will we know when it has been achieved?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 511,Actions to achieve friendship/relationship goals?,,,Actions to achieve this,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 512,Who will perform actions to achieve friendship/relationship goals?,,,Who will do this?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 513,When will actions be taken to reach friendship/relationship goals?,,,When?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 514,Date of friendship/relationship form?,,,Date,Pathway Plan (PLAN): 1to10,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 515,Friendship/relationship form score?,,,Score,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 516,Child's views on friendships/relationships,,,My View - Views,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 517,Worker's views on friendships/relationships,,,My Workers View - Views,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 518,Other's views on friendships/relationships,,,Other people's view - Views,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 534,"Child expectations, child will clean and tidy room",,,Maintain a clean and tidy room - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 535,"Child expectations, child will respect household rules",,,Respect household rules - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 536,"Child expectations, child will access education",,,Access education - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 537,"Child expectation, child will follow guidance to maintain a health diet",,,Follow guidance to maintain a healthy diet - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 538,"Child expectations, child will take on board support and advice",,,Take on board support and advice - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 539,"Child expectations, other comments",,,Other - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 540,Comments on expectations of child,,,Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 544,Others with parental responsibility,,,Another family member with PR - Name,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 562,"Parent expectations, parent will attend appointments",,,Attend appointments - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 564,"Parent expectations, other expectations",,,Other - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 565,"Parent expectations, comments",,,Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 566,"SW expectations, SW should visit child at least every 4 weeks",,,Frequency of visits - should be at least every 4 weeks - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 567,"SW expectations, other expectations",,,Other - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 568,"SW expectations, comments",,,Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 569,"SW expectations, SW should visit carer at least every 6 weeks",,,Frequency of visits to carer- should be at least every 6 weeks - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 570,"SW expectations on carer visits, other",,,Other - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 571,Other comments on placement agreement,,,Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 572,Comments on placement rules,,,Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 573,"Placement, coming-in-time comments",,,Coming-in time - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 574,"Placement bedtime, comments",,,Bedtime - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 575,"Placement, jobs in house comments",,,Jobs in the house - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 576,"Placement privacy, comments",,,Privacy - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 577,"Placement smoking, comments",,,Smoking - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 578,"Placement, pocket money comments",,,Pocket money - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 579,"Placement, savings comments",,,Savings (minimum £5 per week) - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 580,"Placement rules/issues, other",,,Any other issues - Comments,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 581,"Placement, special payments needed?",,,Are any special payments needed? (e.g. for clothing or transport),,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 582,Who will organise special payments needed?,,,Who will organise any special payments? (This must be agreed and confirmed by managers),,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 583,Does anyone else need money to do the things they have promised to? (e.g. visit the child/young person),,,Does anyone else need money to do the things they have promised to? (e.g. visit the child/young person),,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 606,Date  Pathway Plan started,,,Started On,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 629,Specify parallel permanency plan,,,Please specify,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 631,Who will take permanency plan actions?,,,Who?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 632,When will permanency plan actions be made?,,,When?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 633,Which permanency plan do the actions relate to?,,,Which Permanency Plan does this relate to?,Pathway Plan (PLAN): PermPlan,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 634,What is the parallel plan for permanency?,,,What is the parallel plan for permanency for this child/young person?,Pathway Plan (PLAN): What is the parallel plan for permanency for this child/young person?,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 635,What area does the parallel plan address?,,,Area Addressed,Pathway Plan (PLAN): areas addressed,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 636,Plan aspirations/changes?,,,What are our aspirations? / What needs to change?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 637,Measures of plan aspirations/changes?,,,How will we know when it has been achieved?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 638,Actions to achieve plan aspirations/changes?,,,Actions to achieve this,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 639,Who will make actions to meet goals or changes for plan,,,Who will do this?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 640,When will the changes/actions be made by?,,,When?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 641,Child's plan worries?,,,What are we worried about?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 645,Other information relevant to the plan?,,,Other relevant information,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 646,Child's preferred placement option,,,What is the preferred placement option for this child/young person?,Pathway Plan (PLAN): LCS Placement Codes,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 647,"If other placement type is selected, specify",,,"If Other, please specify:",,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 648,Evidence in favour of preferred placement type?,,,What is the evidence that supports this choice of placement:,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 649,Where will the child be placed?,,,Where is/will the child/young person be placed?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 650,"Why is the child not in their preferred placement, how will they be moved to their preferred placement?",,,"If the child/young person is not in the preferred placement, please explain why, and outline what actions are being taken to secure a preferred placement:",,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 654,Child living arrangements?,,,What are the living arrangements for the child / young person and why have they been chosen?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 655,How has child chosen living arrangements?,,,What are the living arrangements for the child / young person and why have they been chosen?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 656,Child and siblings placed apart?,,,Are siblings being (or have been) placed apart?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 657,Reason for placing siblings apart?,,,What is the reason for this?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 658,How long will current placement last?,,,How long is it expected that this placement will last?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 659,Child's view on placement plan?,,,What are the child(ren)'s / young person(s)'s views about this plan?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 667,Status of other important claims in child's life,,,Other status,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 668,Plans in place for accommodation once child has left care?,,,Are all plans in place for Accommodation once YP has left care?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 669,Panel date for Staying Put,,,If Staying Put please indicate Panel date,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 670,Accommodation plans for independent child,,,If Independent accommodation plans for tenancy start date etc.,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 671,Housing application forms completed and submitted?,,,Have housing application forms been completed and submitted?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 672,Date of submitting housing application?,,,"If so, please give date",,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 673,Housing register number?,,,Housing Register no,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 674,Case considered at housing panel?,,,"Has the case been considered at Housing Panel? If so, please give date(s):",,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 675,Eligible for SNAP or Landlord Bond Scheme?,,,Is the young person eligible to be put forward for the Landlord Bond Scheme or a SNAP referral?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 676,Details of SNAP or Landlord Bond Scheme,,,"If yes, please give details?",,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
