,Item number,Croydon Main reason for recording data item,Essex Main reason for recording local data item,Sutton Main reason for recording local data item,Camden Main reason for recording local data item
168,Item 166,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,2. For management oversight of case decisions and accountability purposes,1. For social work practitioners and/or the child/YP
171,Item 169,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
172,Item 170,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
175,Item 173,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
177,Item 175,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
192,Item 190,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
209,Item 206,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
217,Item 214,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
218,Item 215,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
251,Item 246,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
269,Item 264,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
272,Item 267,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
273,Item 268,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
274,Item 269,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
280,Item 275,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
281,Item 276,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
282,Item 277,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
288,Item 283,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
314,Item 308,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
316,Item 310,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
317,Item 311,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
318,Item 312,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
320,Item 314,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
321,Item 315,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
322,Item 316,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
323,Item 317,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
324,Item 318,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
328,Item 322,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
329,Item 323,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
334,Item 327,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,4. For statutory data requirements outside of the Annex A or 903 returns,1. For social work practitioners and/or the child/YP
338,Item 331,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
340,Item 333,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
369,Item 362,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
389,Item 381,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
390,Item 382,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
405,Item 397,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
410,Item 402,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
420,Item 412,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
435,Item 427,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
437,Item 429,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
443,Item 435,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
451,Item 443,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
462,Item 454,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
500,Item 491,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
501,Item 492,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
595,Item 584,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
598,Item 587,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
599,Item 588,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
600,Item 589,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
605,Item 594,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
606,Item 595,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
607,Item 596,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
665,Item 653,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
726,Item 714,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
738,Item 726,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
746,Item 734,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
763,Item 750,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,2. For management oversight of case decisions and accountability purposes,1. For social work practitioners and/or the child/YP
766,Item 753,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
776,Item 763,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,2. For management oversight of case decisions and accountability purposes,1. For social work practitioners and/or the child/YP
782,Item 769,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,2. For management oversight of case decisions and accountability purposes,1. For social work practitioners and/or the child/YP
785,Item 772,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
800,Item 787,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
823,Item 810,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
836,Item 823,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
838,Item 825,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
839,Item 826,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
840,Item 827,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
844,Item 831,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
849,Item 836,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP
875,Item 862,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
1005,Item 992,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
1017,Item 1003,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
1030,Item 1016,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
1031,Item 1017,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
1038,Item 1024,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
1039,Item 1025,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
1040,Item 1026,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
1051,Item 1035,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
1052,Item 1036,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
1101,Item 1084,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
1234,Item 1217,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
1244,Item 1227,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
1474,Item 1451,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
1481,Item 1458,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
1485,Item 1462,,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
1317,Item 1299,2. For management oversight of case decisions and accountability purposes,,2. For management oversight of case decisions and accountability purposes,2. For management oversight of case decisions and accountability purposes
