data category,item number,data item,annex a  information captured,903 information captured,croydon text,croydon options,croydon forms,croydon reason for collecton,essex text,essex options,essex forms,essex reason for collection,sutton text,sutton options,sutton forms,sutton reason for collection,camden text,camden options,camden forms,camden reason for collection,were users asked specifically about this item (y/n),did users find it useful?,why was it found useful/not useful?
,Item 1217,Arrangements made for the independent visitor to visit the child,,,,,,,How frequently will they visit?,,Placement Plan,,Arrangements made for the independent visitor to visit the child,,Placement Plan & Delegated Authority,,Arrangements made for the independent visitor to visit the child (if appropriate),N/A (Free text entry),Placement Plan,,,,
,Item 1218,"Has child been given information about being LAC? Date given, if not given, when?",,,,,,,Has the child been given information about the placement?,"yes
No
If yes, date given
If no, when will these be provided",Placement Plan,,"Has the child/young person received their copy of the Childrens/Young Person's guide? If not, when will they receive this?",,Placement Plan & Delegated Authority,,"Has young person been given LAC Information?

Date given

If not, when will these be provided?","Yes, No",Placement Plan,,,,
,Item 1227,Circumstances in which the placement agreement and/or placement will be changed/or ended,,,,,,,What are the arrangements for giving notice of intention to terminate the placement?,,Placement Plan,,Circumstances in which the placement agreement and/or placement will be changed/or ended,,,,What are the arrangements for giving notice of intention to terminate the placement?,N/A (Free text entry),Placement Plan,,,,
,Item 1444,Date of Visit,Latest statutory visit,,,,,,Date and time of visit,,Child/YP Record of Visit,,"Date of Visit
Date of 2 last CLA Visits",,"Visit Recording Template
All About Me Review and Care Plan",,Planned Visit Date,,CLA Visit,,,,
,Item 1445,Time of visit,Actual date and time of visit,,,,,,Date and time of visit,,Child/YP Record of Visit,,Time of visit,,Visit Recording Template,,Actual date and time of visit,,CLA Visit,,,,
,Item 1451,Children/Young people present (Name),,,,,,,Those present at visit,"Name
Relationship",Child/YP Record of Visit,,Children/Young people present (Name),,Visit Recording Template,,Persons Seen Name,N/A (Free text entry),CLA Visit,,,,
,Item 1453, Children/Young people present (Seen Alone),\Was the child seen alone?,,,,,,Child/young person seen alone?,Yes/No/Not appropriate,Child/YP Record of Visit,, Children/Young people present (Seen Alone),,Visit Recording Template,,"Details of subject child(ren) If yes, child or young person seen alone?","Yes, No, N/A Visit Did Not Take Place",CLA Visit,,,,
,Item 1458,Observation,,,,,,,Visit details,,Child/YP Record of Visit,,Observation,,Visit Recording Template,,Summary of visit,N/A (Free text entry),CLA Visit,,,,
,Item 1462,Analysis,,,,,,,Social worker's/case worker's analysis and risk assessment,,Child/YP Record of Visit,,Analysis,,Visit Recording Template,,Analysis,N/A (Free text entry),CLA Visit,,,,
,Item 1802,Consent for emergency medical treatment,,,,,,,Consent to medical treatment,,Placement Plan,,Signed consent to emergency medical treatment (including anaesthetics and invasive procedures),"Social Worker
Parent
Foster Carer
Date
Notes",Placement Plan & Delegated Authority,,"Consent by parents a) I give consent for emergency examination and intervention (including anaesthetic)

Consent by parents c) I give consent for planned surgical intervention which is in the child's best interests (And about which I have been informed) ","YES
NO
Signature
Date",CLA Placement and Health Consent Form,,,,
,Item 1804,Routine medical procedures,,,,,,,Consent to medical treatment,,Placement Plan,,Planned medical procedures (including anaesthetic and invasive procedures),"Social Worker
Parent
Foster Carer
Date
Notes",Placement Plan & Delegated Authority,,"Consent by parents b) I give consent for routine health assessment/intervention which is in the child's best interests (Including statutory health assessments) -

Consent by parents c) I give consent for planned surgical intervention which is in the child's best interests (And about which I have been informed)  ","YES
NO
Signature
Date",CLA Placement and Health Consent Form,,,,
,Item 1805,More medical procedures,,,,,,,Consent to medical treatment,,Placement Plan,,Medical procedure carried out in the home where the person administering the procedure requires training (e.g. child with disability or illness),"Social Worker
Parent
Foster Carer
Date
Notes",Placement Plan & Delegated Authority,,"Consent by parents d) Where the child has complex needs or specific health requirements, parents may indicate here their consent to other medical interventions such as administration of medication or use of specialist equipment. For example, agreement to psychiatric/psychological assessments and interventions, consent to administration of non-prescription medicines or consent to use and provision of specialist equipment such as tube feeding","YES
NO
Signature
Date",CLA Placement and Health Consent Form,,,,
